"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 05, 2021","73,122.60","73,959.58","74,765.62","71,635.66","0.09K","-1.13%"
"Dec 04, 2021","73,959.58","79,753.22","80,221.13","65,434.60","0.26K","-7.26%"
"Dec 03, 2021","79,753.22","83,044.01","84,756.98","76,985.18","0.11K","-3.96%"
"Dec 02, 2021","83,044.01","84,095.07","84,537.46","81,985.27","0.05K","-1.25%"
"Dec 01, 2021","84,095.07","83,650.41","86,349.61","82,952.46","0.08K","0.53%"
"Nov 30, 2021","83,650.41","84,666.31","86,626.10","82,406.58","0.18K","-1.20%"
"Nov 29, 2021","84,666.31","84,038.44","86,522.44","82,973.08","0.21K","0.75%"
"Nov 28, 2021","84,038.44","80,920.54","84,754.65","78,882.97","0.07K","3.85%"
"Nov 27, 2021","80,920.54","79,126.34","81,614.20","79,085.12","0.04K","2.27%"
"Nov 26, 2021","79,126.34","86,029.62","87,029.86","78,462.03","0.18K","-8.02%"
"Nov 25, 2021","86,029.62","83,270.74","86,759.39","83,111.81","0.05K","3.31%"
"Nov 24, 2021","83,270.74","82,980.26","84,315.44","81,036.65","0.08K","0.35%"
"Nov 23, 2021","82,980.26","81,059.02","86,514.07","80,116.34","0.14K","2.37%"
"Nov 22, 2021","81,059.02","84,165.89","84,925.51","80,223.27","0.16K","-3.78%"
"Nov 21, 2021","84,242.10","86,132.09","86,419.56","84,041.80","0.05K","-2.19%"
"Nov 20, 2021","86,132.09","83,378.23","87,848.58","82,505.26","0.05K","3.30%"
"Nov 19, 2021","83,378.23","80,997.76","83,894.58","79,170.25","0.10K","2.89%"
"Nov 18, 2021","81,033.91","86,473.15","87,058.82","80,486.32","0.17K","-6.29%"
"Nov 17, 2021","86,473.15","86,160.99","87,181.67","83,733.84","0.16K","0.36%"
"Nov 16, 2021","86,160.99","90,559.20","90,559.20","83,625.97","0.23K","-4.86%"
"Nov 15, 2021","90,559.20","93,084.82","94,335.27","90,293.54","0.08K","-2.71%"
